 id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
11,tt0076759,12.037933,11000000,775398007,Star Wars,Mark Hamill|Harrison Ford|Carrie Fisher|Peter Cushing|Alec Guinness,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,George Lucas,"A long time ago in a galaxy far far away...",android|galaxy|hermit|death star|lightsaber,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,121,Adventure|Action|Science Fiction,Lucasfilm|Twentieth Century Fox Film Corporation,3/20/77,4428,7.9,1977,39575591.3582738,2789712242.27745
19995,tt0499549,9.432768,237000000,2781505847,Avatar,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez,http://www.avatarmovie.com/,James Cameron,Enter the World of Pandora.,culture clash|future|space war|space colony|society,"In the 22nd century a paraplegic Marine is dispatched to the moon Pandora on a unique mission but becomes torn between following orders and protecting an alien civilization.",162,Action|Adventure|Fantasy|Science Fiction,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,12/10/09,8458,7.1,2009,240886902.887613,2827123750.41189
597,tt0120338,4.355219,200000000,1845034188,Titanic,Kate Winslet|Leonardo DiCaprio|Frances Fisher|Billy Zane|Kathy Bates,http://www.titanicmovie.com/menu.html,James Cameron,Nothing on Earth could come between them.,shipwreck|iceberg|ship|panic|titanic,"84 years later a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert Brock Lovett Lewis Bodine Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912 on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother Ruth DeWitt Bukater and her fianc̩ Caledon Hockley. Meanwhile a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th 1912 at 2:20 in the morning.",194,Drama|Romance|Thriller,Paramount Pictures|Twentieth Century Fox Film Corporation|Lightstorm Entertainment,11/18/97,4654,7.3,1997,271692064.214419,2506405735.41947
9552,tt0070047,2.010733,8000000,441306145,The Exorcist,Linda Blair|Max von Sydow|Ellen Burstyn|Jason Miller|Lee J. Cobb,http://theexorcist.warnerbros.com/,William Friedkin,"Something almost beyond comprehension is happening to a girl on this street in this house... and a man has been sent for as a last resort. This man is The Exorcist.",exorcism|holy water|religion and supernatural|vomit|christian,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter and ultimately turns to her last hope: Father Damien Karras a troubled priest who is struggling with his own faith.",122,Drama|Horror|Thriller,Warner Bros.|Hoya Productions,12/26/73,1113,7.2,1973,39289276.6303944,2167324901.19974
578,tt0073195,2.563191,7000000,470654000,Jaws,Roy Scheider|Robert Shaw|Richard Dreyfuss|Lorraine Gary|Murray Hamilton,http://www.jaws25.com/,Steven Spielberg,Don't go in the water.,fishing|atlantic ocean|bathing|shipwreck|police chief,"An insatiable great white shark terrorizes the townspeople of Amity Island The police chief an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.",124,Horror|Thriller|Adventure,Universal Pictures|Zanuck/Brown Productions,6/18/75,1415,7.3,1975,28362748.2044354,1907005841.91576
601,tt0083866,2.900556,10500000,792910554,E.T. the Extra-Terrestrial,Henry Thomas|Drew Barrymore|Robert MacNaughton|Dee Wallace|Peter Coyote,http://www.et20.com/,Steven Spielberg,He is afraid. He is alone. He is three million light years from home.,farewell|homesickness|nasa|extraterrestrial technology|operation,A science fiction fairytale about an extra-terrestrial who is left behind on Earth and is found by a young boy who befriends him. This heart-warming fantasy from Director Steven Spielberg became one of the most commercially successful films of all time.,115,Science Fiction|Adventure|Family|Fantasy,Universal Pictures|Amblin Entertainment,4/3/82,1830,7.2,1982,23726245.2267878,1791694309.24878
140607,tt2488496,11.173104,200000000,2068178225,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,http://www.starwars.com/films/star-wars-episode-vii,J.J. Abrams,Every generation has a story.,android|spaceship|jedi|space opera|3d,"Thirty years after defeating the Galactic Empire Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",136,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182
1642,tt0113957,1.13661,22000000,1106279658,The Net,Sandra Bullock|Jeremy Northam|Dennis Miller|Wendy Gazelle|Ken Howard,,Irwin Winkler,Her driver's license. Her credit cards. Her bank accounts. Her identity. DELETED.,cheating|new identity|computer virus|chase|computer,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a CD-ROM game she discovers a conspiracy that will turn her life upside down. Soon her records have been erased and she's been given a new identity and a police record. Her vacation is ruined as she struggles to determine why she's been deleted from society.",114,Crime|Drama|Mystery|Thriller|Action,Columbia Pictures,7/28/95,201,5.6,1995,31481271.0763532,1583049536.35242
12230,tt0055254,2.631987,4000000,215880014,One Hundred and One Dalmatians,Rod Taylor|J. Pat O'Malley|Betty Lou Gerson|Martha Wentworth|Ben Wright,,Clyde Geronimi|Hamilton Luske|Wolfgang Reitherman,The Canine Caper of the Century,puppy|animation|dog|dalmatian,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil the parents must find them before she uses them for a diabolical fashion statement.",79,Adventure|Animation|Comedy|Family,Walt Disney Productions,1/25/61,913,6.6,1961,29179444.8318826,1574814739.70476
1891,tt0080684,5.488441,18000000,538400000,The Empire Strikes Back,Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams|Anthony Daniels,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,Irvin Kershner,The Adventure Continues...,rebel|asteroid|space battle|snow storm|space colony,"The epic saga continues as Luke Skywalker in hopes of defeating the evil Galactic Empire learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile rebel leader Princess Leia cocky Han Solo Chewbacca and droids C-3PO and R2-D2 are thrown into various stages of capture betrayal and despair.",124,Adventure|Action|Science Fiction,Lucasfilm|Twentieth Century Fox Film Corporation,1/1/80,3954,8,1980,47628661.5525832,1424626187.77282
